3000961|189271|9272|2|12|16323.24|0.03|0.07|R|F|1992-09-28|1992-10-21|1992-10-03|NONE|TRUCK| blithely about the unusual request
3000961|67959|7960|3|31|59735.45|0.04|0.06|A|F|1992-11-08|1992-10-22|1992-11-29|DELIVER IN PERSON|SHIP|courts are carefully. quickly 
3000961|174257|9292|4|42|55912.50|0.00|0.02|A|F|1992-11-21|1992-10-11|1992-12-15|NONE|AIR|refully unusual asymptotes. bold, busy 
3000961|128291|804|5|17|22427.93|0.10|0.05|A|F|1992-09-26|1992-10-15|1992-10-26|DELIVER IN PERSON|SHIP|ly express theodolites across the slyly
3000962|556|557|1|19|27674.45|0.08|0.02|R|F|1995-05-03|1995-04-06|1995-05-06|NONE|FOB|blithely slyly express platelets. exp
3000963|72493|15|1|38|55688.62|0.08|0.04|A|F|1992-10-16|1992-10-30|1992-11-03|DELIVER IN PERSON|SHIP|rate furiously. ruthless
3000963|182531|5050|2|40|64541.20|0.06|0.07|A|F|1992-09-25|1992-11-03|1992-09-30|TAKE BACK RETURN|REG AIR|ar pinto beans hang slyly. 
3000963|182420|4939|3|10|15024.20|0.04|0.05|R|F|1992-09-27|1992-10-10|1992-09-30|DELIVER IN PERSON|TRUCK|dencies use above the even instruction
3000963|132170|9710|4|23|27649.91|0.01|0.01|A|F|1992-12-03|1992-09-28|1992-12-21|COLLECT COD|MAIL|tructions. permanent,
3000963|167984|7985|5|30|61559.40|0.03|0.01|R|F|1992-08-30|1992-10-08|1992-09-16|DELIVER IN PERSON|TRUCK|ng the carefully express package
3000963|100311|312|6|37|48518.47|0.02|0.02|R|F|1992-10-14|1992-10-16|1992-10-22|TAKE BACK RETURN|AIR|ng, final requests. even pinto bea
3000963|121863|9400|7|34|64085.24|0.07|0.01|R|F|1992-11-25|1992-10-28|1992-12-03|TAKE BACK RETURN|REG AIR|requests; packages play carefully. 
3000964|140625|5654|1|15|24984.30|0.09|0.01|N|O|1995-11-24|1995-11-10|1995-12-13|NONE|RAIL|haggle blithely carefully regular 
3000965|104195|4196|1|41|49166.79|0.01|0.01|N|O|1997-04-11|1997-04-29|1997-05-10|NONE|MAIL| about the instructions. c
3000965|192403|9961|2|4|5981.60|0.06|0.00|N|O|1997-06-01|1997-06-07|1997-06-18|TAKE BACK RETURN|MAIL|g deposits sleep fluffily carefully si
3000965|116781|6782|3|10|17977.80|0.05|0.03|N|O|1997-06-26|1997-05-22|1997-07-07|NONE|RAIL| the ironic, special instructions. 
3000965|123332|3333|4|3|4065.99|0.01|0.02|N|O|1997-07-12|1997-06-13|1997-07-31|COLLECT COD|FOB|ate slyly fina
3000965|29345|6852|5|12|15292.08|0.05|0.00|N|O|1997-04-26|1997-05-07|1997-04-27|DELIVER IN PERSON|AIR|thely according to the carefully unus
3000965|192697|2698|6|20|35793.80|0.09|0.01|N|O|1997-03-30|1997-05-05|1997-04-06|COLLECT COD|FOB|arefully. furiously ironic instructio
3000966|31826|9336|1|14|24609.48|0.01|0.02|R|F|1994-02-21|1993-12-10|1994-02-22|DELIVER IN PERSON|SHIP| furiously busy packages 
3000966|98033|3052|2|9|9279.27|0.07|0.08|A|F|1994-01-11|1994-01-07|1994-01-12|TAKE BACK RETURN|FOB|urts boost. quietly slow asy
3000966|36845|9349|3|23|40982.32|0.07|0.07|R|F|1993-11-16|1994-01-10|1993-11-21|DELIVER IN PERSON|RAIL|detect blithely about the regular instruc
3000967|102890|5401|1|37|70036.93|0.00|0.04|R|F|1992-07-16|1992-09-18|1992-07-22|TAKE BACK RETURN|AIR|uickly even deposits haggle furiously
3000967|62350|7363|2|5|6561.75|0.05|0.04|R|F|1992-09-13|1992-09-08|1992-09-17|NONE|MAIL|ironic braids. bold depe
3000967|111068|6091|3|30|32371.80|0.07|0.01|R|F|1992-07-11|1992-09-05|1992-07-14|COLLECT COD|SHIP| decoys. thinl
3000967|104716|9737|4|27|46459.17|0.03|0.04|A|F|1992-08-05|1992-08-26|1992-08-11|DELIVER IN PERSON|RAIL| wake furiously a
3000967|153426|972|5|12|17753.04|0.05|0.05|R|F|1992-07-22|1992-09-03|1992-07-26|TAKE BACK RETURN|MAIL|o beans sleep 
3000967|21120|8627|6|44|45809.28|0.07|0.01|R|F|1992-07-30|1992-09-27|1992-08-01|DELIVER IN PERSON|REG AIR|requests boost carefully fu
3000967|153283|829|7|9|12026.52|0.04|0.07|R|F|1992-10-19|1992-09-20|1992-11-16|TAKE BACK RETURN|TRUCK|fily bold packa
3000992|11163|6166|1|47|50485.52|0.03|0.05|R|F|1994-08-19|1994-06-15|1994-08-23|TAKE BACK RETURN|FOB|cial request
3000992|11563|4065|2|50|73728.00|0.07|0.04|R|F|1994-08-21|1994-06-25|1994-09-18|COLLECT COD|AIR|posits. pendin
3000992|126631|4168|3|47|77908.61|0.00|0.05|R|F|1994-08-20|1994-06-27|1994-09-12|NONE|TRUCK|ross the careful r
3000992|85470|7979|4|43|62585.21|0.08|0.05|R|F|1994-05-21|1994-06-14|1994-06-03|NONE|FOB|xes. blithely daring dep
3000992|83303|5812|5|6|7717.80|0.00|0.08|A|F|1994-05-06|1994-06-25|1994-05-31|TAKE BACK RETURN|TRUCK| deposits. furio
3000993|146171|3714|1|44|53555.48|0.06|0.03|A|F|1993-08-18|1993-06-14|1993-08-24|TAKE BACK RETURN|MAIL|ronic depos
3000994|84748|7257|1|35|60645.90|0.07|0.08|N|O|1997-06-09|1997-06-09|1997-06-28|TAKE BACK RETURN|TRUCK|y regular foxes sleep. carefu
3000994|149184|6727|2|17|20964.06|0.04|0.03|N|O|1997-07-15|1997-04-20|1997-07-19|NONE|SHIP|ses haggle regular ideas
3000995|70077|7599|1|34|35600.38|0.01|0.06|N|O|1996-06-18|1996-04-28|1996-07-01|NONE|FOB|its sleep final, ironic theodoli
3000995|174083|9118|2|47|54382.76|0.00|0.03|N|O|1996-05-15|1996-04-12|1996-05-19|COLLECT COD|SHIP|foxes use furiously qu
3000995|7216|4717|3|33|37065.93|0.05|0.03|N|O|1996-06-02|1996-04-10|1996-06-25|NONE|MAIL|he slyly regular accounts. packages outside
3000996|151811|9357|1|8|14902.48|0.10|0.03|A|F|1992-09-27|1992-07-22|1992-10-01|COLLECT COD|TRUCK|ly slow pains. blit
3000996|83410|3411|2|19|26474.79|0.04|0.02|A|F|1992-07-06|1992-08-19|1992-07-23|COLLECT COD|TRUCK|instructions. f
3000996|61184|3691|3|3|3435.54|0.05|0.06|R|F|1992-09-28|1992-08-02|1992-10-23|DELIVER IN PERSON|RAIL|to beans hag
3000997|31464|1465|1|23|32095.58|0.07|0.08|N|O|1998-07-19|1998-07-27|1998-08-04|DELIVER IN PERSON|SHIP|unusual ideas cajole
3000997|10497|5500|2|37|52077.13|0.09|0.02|N|O|1998-07-02|1998-05-30|1998-07-09|TAKE BACK RETURN|REG AIR|s wake blithely theodolites. express depo
3000997|14628|7130|3|7|10798.34|0.03|0.04|N|O|1998-08-11|1998-06-26|1998-08-26|COLLECT COD|TRUCK|althy deposits are furiously. specia
3000998|80736|737|1|20|34334.60|0.05|0.05|R|F|1995-04-13|1995-05-01|1995-04-20|COLLECT COD|SHIP|oxes print fluffily about the bold theodoli
3000998|128590|3615|2|3|4855.77|0.10|0.00|R|F|1995-05-19|1995-04-16|1995-05-29|COLLECT COD|TRUCK|ully pending pinto beans 
3000999|779|3280|1|46|77269.42|0.04|0.02|N|O|1998-02-01|1998-03-30|1998-02-19|TAKE BACK RETURN|AIR|s. busily even de
3000999|79438|6960|2|46|65201.78|0.08|0.07|N|O|1998-01-22|1998-02-12|1998-02-14|TAKE BACK RETURN|SHIP|beans. ironic accounts sleep carefu
3000999|109391|9392|3|33|46212.87|0.08|0.01|N|O|1998-04-02|1998-03-02|1998-04-22|DELIVER IN PERSON|MAIL|iously bold braids sleep slyly exp
3000999|121179|1180|4|33|39605.61|0.04|0.04|N|O|1998-01-09|1998-02-05|1998-01-15|TAKE BACK RETURN|SHIP|y above the furiously even
3000999|50851|8367|5|20|36037.00|0.00|0.04|N|O|1998-03-22|1998-03-29|1998-04-20|COLLECT COD|RAIL|coys sleep. slyly p
3000999|46484|8989|6|43|61510.64|0.05|0.08|N|O|1998-05-01|1998-02-07|1998-05-28|NONE|TRUCK|ruthlessly bold requests. blithely bold 
3001024|19072|1574|1|47|46580.29|0.02|0.06|N|O|1998-06-19|1998-05-31|1998-07-10|COLLECT COD|SHIP|eans haggle alongside of th
3001024|129468|4493|2|49|73375.54|0.06|0.05|N|O|1998-06-16|1998-06-04|1998-06-29|COLLECT COD|REG AIR|ages along the
3001024|168590|1107|3|6|9951.54|0.05|0.05|N|O|1998-04-30|1998-06-09|1998-05-05|COLLECT COD|FOB|final accounts. pend
3001024|89328|6853|4|47|61914.04|0.08|0.07|N|O|1998-03-22|1998-04-25|1998-03-29|TAKE BACK RETURN|AIR|slyly even deposits. requests about
3001025|152601|7632|1|48|79372.80|0.06|0.00|N|O|1995-08-12|1995-09-18|1995-09-09|NONE|FOB|cross the idly regular deposits. blithel
3001025|148641|8642|2|43|72654.52|0.05|0.01|N|O|1995-10-13|1995-09-30|1995-11-08|NONE|TRUCK|nusual theodolites g
3001025|198742|1262|3|20|36814.80|0.09|0.03|N|O|1995-08-12|1995-10-07|1995-09-06|NONE|FOB|nts cajole packages. slyly final requests 
3001025|56050|3566|4|50|50302.50|0.07|0.06|N|O|1995-10-04|1995-09-18|1995-10-31|NONE|FOB|osits use care
3001025|18034|5538|5|3|2856.09|0.01|0.07|N|O|1995-08-25|1995-09-26|1995-09-07|NONE|MAIL|ages wake slyly special requests. quickly
3001026|61498|6511|1|14|20432.86|0.06|0.05|N|O|1998-07-09|1998-05-17|1998-07-16|TAKE BACK RETURN|AIR|deposits cajole
3001027|154497|9528|1|8|12411.92|0.03|0.03|N|O|1996-01-20|1995-12-29|1996-02-08|TAKE BACK RETURN|MAIL|ctions. platelets are? furiously express
3001027|24369|6872|2|4|5173.44|0.08|0.00|N|O|1995-12-02|1996-01-02|1995-12-12|COLLECT COD|AIR|jole quickly. furiously final reques
3001027|162865|2866|3|35|67475.10|0.06|0.08|N|O|1995-11-08|1996-01-04|1995-11-17|DELIVER IN PERSON|FOB|slyly expres
3001027|64300|1819|4|36|45514.80|0.05|0.07|N|O|1996-01-04|1996-01-04|1996-01-31|COLLECT COD|FOB|y unusual fox
3001027|78561|6083|5|11|16935.16|0.03|0.08|N|O|1995-11-02|1996-01-04|1995-11-08|COLLECT COD|REG AIR|fter the slyly fina
3001027|157956|7957|6|33|66460.35|0.00|0.08|N|O|1996-01-09|1995-11-25|1996-01-23|COLLECT COD|FOB|ily after the slyly s
3001027|152266|2267|7|17|22410.42|0.06|0.00|N|O|1996-02-18|1996-01-17|1996-02-22|DELIVER IN PERSON|FOB|ackages cajole carefully up th
3001028|128818|8819|1|31|57251.11|0.06|0.04|R|F|1993-01-19|1993-03-20|1993-01-28|COLLECT COD|RAIL|ronic, silent de
3001028|32590|7597|2|6|9135.54|0.01|0.02|R|F|1993-02-16|1993-03-15|1993-02-22|TAKE BACK RETURN|TRUCK| are slyly. regul
3001028|133820|8847|3|17|31514.94|0.06|0.04|A|F|1993-02-04|1993-01-30|1993-02-05|NONE|RAIL| sublate along the unusual braids. f
3001028|111815|1816|4|50|91340.50|0.04|0.06|R|F|1993-01-12|1993-03-07|1993-01-23|NONE|AIR|lent, express 
3001029|17382|4886|1|20|25987.60|0.07|0.08|R|F|1995-04-08|1995-02-09|1995-05-06|COLLECT COD|AIR|dolites. asymptotes c
3001029|128969|3994|2|18|35963.28|0.06|0.03|A|F|1995-01-31|1995-03-02|1995-02-08|DELIVER IN PERSON|FOB|y ironic deposits. slyly pending depos
3001029|175453|7971|3|23|35154.35|0.07|0.02|R|F|1995-03-23|1995-02-09|1995-03-29|DELIVER IN PERSON|SHIP|kages cajole furiously after
3001029|23951|3952|4|27|50623.65|0.03|0.03|R|F|1995-03-05|1995-03-01|1995-03-22|DELIVER IN PERSON|REG AIR|s are furiously across the even requests--
3001029|134807|7321|5|46|84722.80|0.06|0.05|A|F|1995-01-26|1995-02-09|1995-02-22|TAKE BACK RETURN|SHIP|s wake slyly around the
3001029|98853|1363|6|14|25925.90|0.01|0.01|R|F|1995-01-21|1995-01-27|1995-02-10|COLLECT COD|SHIP|re slyly across the fluffily silent 
3001029|14924|2428|7|25|45973.00|0.03|0.01|R|F|1995-02-23|1995-02-20|1995-03-07|NONE|REG AIR|gular accounts. asymptotes run 
3001030|23709|3710|1|39|63675.30|0.06|0.06|N|O|1996-08-11|1996-07-24|1996-08-23|NONE|REG AIR|gular instructions. car
3001031|33143|653|1|3|3228.42|0.00|0.04|N|O|1997-11-06|1997-11-30|1997-11-29|COLLECT COD|MAIL|e unusual dependencies use slyly even cou
3001031|34311|9318|2|47|58529.57|0.08|0.04|N|O|1997-12-11|1997-10-21|1998-01-02|NONE|RAIL|yly about t
